,,,Company Info,,,,,,,,,,,,Address,,,,Login Info,,BILLING,,,,,,,,ADMIN,,,,,,,,TECHNICAL,,,,,,,
267,392,Bangladesh Karmochary Kallyan Board,www.bkkb.gov.bd,Govt,Organization,dg@bkkb.gov.bd,1411111377,9349323,Not_Found267,NID_Not_Found267,TIN_Not_Found267,TL_Not_Found267,,2,Bangladesh,Dhaka,1000,"1st 12th Storied Govt. Office Building, Segunbagicha. Dhaka",bkkb,bkkb,Md. Ali Mustafa Choudury,,dg@bkkb.gov.bd,9349323,9335346,Dhaka,1000,"1st 12th Storied Govt. Office Building, Segunbagicha. Dhaka",Md. Ali Mustafa Choudury,,dg@bkkb.gov.bd,9349323,9335346,Dhaka,1000,"1st 12th Storied Govt. Office Building, Segunbagicha. Dhaka",Asfia Mehbuba,,asfia_mehbuba@yahoo.com,9346832,9335346,Dhaka,1000,"1st 12thStoried Govt. Office Building, Segunbagicha. Dhaka"
268,342,Director General Department of Fisheries,,Govt,Organization,yousuf@fisheries.gov.bd,1411111378,27162804,Not_Found268,NID_Not_Found268,TIN_Not_Found268,TL_Not_Found268,,2,Bangladesh,Dhaka,1215,"Matshay Bhaban, Ramna, Dhaka-1215",gmbt,gmbt,Director General Department of Fisheries,,dg@fisheries.gov.bd,29562861,,Dhaka,1215,"Matshay Bhaban, Ramna, Dhaka-1215",Md. Yousuf Khan,,yousuf@fisheries.gov.bd,29562861,,Dhaka,1215,"Matshay Bhaban, Ramna, Dhaka-1215",Md. Yousuf Khan,,yousuf@fisheries.gov.bd,27162804,,Dhaka,1215,"Matshay Bhaban, Ramna, Dhaka-1215"
269,250,General Manager Bangladesh Television,,Govt,Organization,unknown31@unkown.com,1411111379,31659139,Not_Found269,NID_Not_Found269,TIN_Not_Found269,TL_Not_Found269,,2,Bangladesh,Chittagong,4000,"BTV Ctg Center, Pahartoli, Chittagong",gmbtv,gmbtv,Jean nesar Osman,,,31659139,31659147,Chittagong,4000,"BTV Ctg Center, Pahartoli, Chittagong",Jean nesar Osman,,,31659139,31659147,Chittagong,4000,"BTV Ctg Center, Pahartoli, Chittagong",Sayem Imne Akbar,,mrponir@yahoo.com,1929685984,31659147,Chittagong,4000,"BTV Ctg Center, Pahartoli, Chittagong"
270,367,Senior Assistant Secretary(Admin-2) Statistics Division.,,Govt,Organization,dsvnfo@sid.gov.bd,1411111380,8181341,Not_Found270,NID_Not_Found270,TIN_Not_Found270,TL_Not_Found270,,2,Bangladesh,Dhaka,1207,"E-27/A Agargaon Parisankhan bhaban, Dhaka",dmrdmf,dmrdmf,Mr. Tahmid Hasnat Khan,,dsvnfo@sid.gov.bd,8181341,8181323,Dhaka,1207,"E-27/A Agargaon Parisankhan bhaban, Dhaka",Mr. Tahmid Hasnat Khan,,dsvnfo@sid.gov.bd,8181341,8181323,Dhaka,1207,"E-27/A Agargaon Parisankhan bhaban, Dhaka",Mr. C.S. Roy,,csroy1@gmail.com,28181376,29111064,Dhaka,1207,"E-27/A Agargaon Parisankhan bhaban, Dhaka"
271,385,"Disaster Management & Relief Division, Ministry of Food",www.modmr.gov.bd,Govt,Organization,jscs@dmrd.gov.bd,1411111381,9545091,Not_Found271,NID_Not_Found271,TIN_Not_Found271,TL_Not_Found271,,2,Bangladesh,Dhaka,1000,"Bangladesh Secretariat, Dhaka-1000",disastermanagement ,disastermanagement ,Amit Kumar Baul,,jscs@dmrd.gov.bd,9545091,9545405,Dhaka,1000,"Bangladesh Secretariat, Dhaka-1000",Amit Kumar Baul,,jscs@dmrd.gov.bd,9545091,9545405,Dhaka,1000,"Bangladesh Secretariat, Dhaka-1000",Md. Olid Bin Asad,,sa@dmrd.gov.bd,9552259,9545405,Dhaka,1000,"Bangladesh Secretariat, Dhaka-1000"
272,234,Bangladesh Fisheries Research Institute(BFRI),www.fri.gov.bd,Govt,Organization,unknown31@unkown.com,1411111382,9165874,Not_Found272,NID_Not_Found272,TIN_Not_Found272,TL_Not_Found272,,2,Bangladesh,Mymensing2201,,Mymensing-2201.,bfri,bfri,Bangladesh Fisheries Research Institute(BFRI),,,9165274,9166559,Mymensing2201,,Mymensing-2201.,Director General,,,9165874,,Mymensing2201,,Mymensing-2201.,Dr.Md. Enamul Haq,,hoq_meayahoo.com,9162628,9166559,Mymensing2201,,Mymensing-2201.
273,329,Bangladesh Bank.,,Govt,Organization,ataur.rahman@bb.org.bd,1411111383,7120959,Not_Found273,NID_Not_Found273,TIN_Not_Found273,TL_Not_Found273,,2,Bangladesh,Dhaka,1000,"Head Office, Motijheel C/A,Dhaka-1000.",bbank,bbank,Ataur Rahman,,ataur.rahman@bb.org.bd,27120959,29564117,Dhaka,1000,"Head Office, Motijheel C/A,Dhaka-1000.",Md.Ataur Rahman,,ataur.rahman@bb.org.bd,7120959,,Dhaka,1000,"Head Office, Motijheel C/A,Dhaka-1000.",Md.Abdul Hamid.,,ataur.rahman@bb.org.bd,7168377,7114408,Dhaka,1000,"Head Office, Motijheel C/A,Dhaka-1000."
274,325,National Archives Of Baqngladesh.,,Govt,Organization,nanldirector@gmail.com,1411111384,9133222,Not_Found274,NID_Not_Found274,TIN_Not_Found274,TL_Not_Found274,,2,Bangladesh,Dhaka,1207,"32,Agargaon,Sher-e-Bangla Nagar,Dhaka.",nationalarchives,nationalarchives,Dr.Md.Zahedul Islam.,,nanldirector@gmail.com,9133222,9129992,Dhaka,1207,"national Archives of bangladesh, 32,Agargaon,Sher-e-Bangla Nagar,Dhaka.",Dr.Md.Zahedul Islam.,,nanldirector@gmail.com,,,Dhaka,1207,"32,Agargaon,Sher-e-Bangla Nagar,Dhaka.",,,,,,Dhaka,1207,"32,Agargaon,Sher-e-Bangla Nagar,Dhaka."
275,318,"Director General, Department of Public Libraries",www.publiclibary.gov.bd,Govt,Organization,dpi-bd@yahoo.com,1411111385,8610422,Not_Found275,NID_Not_Found275,TIN_Not_Found275,TL_Not_Found275,,2,Bangladesh,Dhaka,,"10, Kazi Nazrul Islam Avenue Shahbagh, Dhaka",directorgeneral,directorgeneral,Director General,,dpi-bd@yahoo.com,8610422,8628205,Dhaka,,"10, Kazi Nazrul Islam Avenue Shahbagh, Dhaka",Director General,,dpi-bd@yahoo.com,8610422,8628205,Dhaka,,"10, Kazi Nazrul Islam Avenue Shahbagh, Dhaka",Director General,,dpi-bd@yahoo.com,8610422,8628205,Dhaka,,"10, Kazi Nazrul Islam Avenue Shahbagh, Dhaka"
276,138,CMEC,,Private,Organization,zhongguangzhou@yahoo.com,1411111386,1551558888,Not_Found276,NID_Not_Found276,TIN_Not_Found276,TL_Not_Found276,,3,Bangladesh,Dhaka,1212,"9th Floor, Doreen Tower, Gulshan-2, Dhaka",cmec,cmec,CMEC,,rafi325@gmail.com,8821982,,Dhaka,1212,"9th Floor, Doreen Tower, Gulshan-2, Dhaka",CMEC,,rafi325@gmail.com,8821982,,Dhaka,1212,"9th Floor, Doreen Tower, Gulshan-2, Dhaka",Rafi Shamsuddin,,rafi325@gmail.com,1711596153,,Dhaka,1212,"9th Floor, Doreen Tower, Gulshan-2, Dhaka"
277,173,Jahurul Islam Medical College,www.jimedcol.org,Private,Organization,yeasinsmith123456@hotmail.com,1411111387,942364202,Not_Found277,NID_Not_Found277,TIN_Not_Found277,TL_Not_Found277,,3,Bangladesh,Kishoregonj,2336,"Bhagalpur, Bajitpur. Kishorgonj",jahurulislam,,Miskat Tahmid Aziz,,yeasinsmith123456@hotmail.com,942364202,,Kishoregonj,2336,"Bhagalpur, Bajitpur. Kishorgonj",Miskat Tahmid Aziz,,yeasinsmith123456@hotmail.com,942364202,,Kishoregonj,2336,"Bhagalpur, Bajitpur. Kishorgonj",Miskat Tahmid Aziz,,yeasinsmith123456@hotmail.com,942364202,,Kishoregonj,2336,"Bhagalpur, Bajitpur. Kishorgonj"
278,181,Creation Online,,Private,ISP,abdullahalmasum@yahoo.com,1411111388,1828395542,Not_Found278,NID_Not_Found278,TIN_Not_Found278,TL_Not_Found278,,4,Bangladesh,Noakhali,3800,"Srinath Bhaban, Maijdee Court, Noakhali sodar",creation,,Md. Abdullah Al Masum,,abdullahalmasum@yahoo.com,1828395542,,Noakhali,3800,"Srinath Bhaban, Maijdee Court, Noakhali sodar",Md. Abdullah Al Masum,,abdullahalmasum@yahoo.com,1828395542,,Noakhali,3800,"Srinath Bhaban, Maijdee Court, Noakhali sodar",Md. Mahmud,,mahmudabdulla2@gmail.com,1675828665,,Noakhali,3800,"Srinath Bhaban, Maijdee Court, Noakhali sodar"
279,423,Probashi kallyan bank,,Govt,Organization,csd@pkb.gov.bd,1411111389,8322719,Not_Found279,NID_Not_Found279,TIN_Not_Found279,TL_Not_Found279,,2,Bangladesh,Dhaka,1000,"71-72, Old Elephant Road, Eskaton, Dhaka-1000",probashi,,Gazi Mohammad Jukhak,,csd@pkb.gov.bd,8322719,,Dhaka,1000,"71-72, Old Elephant Road, Eskaton, Dhaka-1000",Gazi Mohammad Jukhak,,csd@pkb.gov.bd,8322719,,Dhaka,1000,"71-72, Old Elephant Road, Eskaton, Dhaka-1000",Lutfor Rahman,,lutfor_sdfl@yahoo.com,8322719,,Dhaka,1000,"71-72, Old Elephant Road, Eskaton, Dhaka-1000"
280,446,Rajshahi Krishi Unnayan bank,www.rakub.org.bd,Govt,Organization,dgmict@rakub.org.bd,1411111390,721761548,Not_Found280,NID_Not_Found280,TIN_Not_Found280,TL_Not_Found280,,2,Bangladesh,Rajshahi,,"ICTD, RAKUB, Head office. 272, Banolata C/A, Airport Road",rajshahikrishi,,Md. Mizanur Rahman,,dgmict@rakub.org.bd,721761548,,Rajshahi,,"ICTD, RAKUB, Head office. 272, Banolata C/A, Airport Road",Md. Mizanur Rahman,,dgmict@rakub.org.bd,721761548,,Rajshahi,,"ICTD, RAKUB, Head office. 272, Banolata C/A, Airport Road",Md. Nazmul Basher,,dgmict@rakub.org.bd,721761548,,Rajshahi,,"ICTD, RAKUB, Head office. 272, Banolata C/A, Airport Road"
281,889,"Bangladesh Television, Sylhet",,Govt,Organization,btvsylhet@gmail.com,1411111391,821714666,Not_Found281,NID_Not_Found281,TIN_Not_Found281,TL_Not_Found281,,2,Bangladesh,Sylhet,3100,"Kazitula, Sylhet",btvs,,"Bangladesh Television, Sylhet",,btvsylhet@gmail.com,821714666,821728411,Sylhet,3100,"Kazitula, Sylhet","Bangladesh Television, Sylhet",,btvsylhet@gmail.com,821714666,821728411,Sylhet,3100,"Kazitula, Sylhet",Md. Makbul Hossain,,btvsylhet@gmail.com,821714666,821728411,Sylhet,3100,"Kazitula, Sylhet"
282,170,Haji Abul Hossain Institute of Technology (HABHIT),www.habhit.edu.bd,Govt,Organization,info@habhit.edu.bd,1411111392,1712470752,Not_Found282,NID_Not_Found282,TIN_Not_Found282,TL_Not_Found282,,2,Bangladesh,Tangial,1900,"Hossain Complex, Mosjid Road, Tangail-1900",habhit,,Md. Aminul Islam,,info@habhit.edu.bd,1712470752,,Tangial,1900,"Hossain Complex, Mosjid Road, Tangail-1900",Md. Aminul Islam,,info@habhit.edu.bd,1712470752,,Tangial,1900,"Hossain Complex, Mosjid Road, Tangail-1900",Md. Asaduzzaman Talukder,,titu_tangail@yahoo.com,1823010798,,Tangial,1900,"Hossain Complex, Mosjid Road, Tangail-1900"
283,807,Khagrachari Hill District Council,,Govt,Organization,khdcbd@gmail.com,1411111393,,Not_Found283,NID_Not_Found283,TIN_Not_Found283,TL_Not_Found283,,2,Bangladesh,Khagrachari,4400,"Khagrachari Sadar,Khagrachari-4400",khagracharihill,khagracharihill,Khagrachari Hill District Council,,khdcbd@gmail.com,,,Khagrachari,4400,"Khagrachari Sadar,Khagrachari-4400",Khagrachari Hill District Council,,khdcbd@gmail.com,,,Khagrachari,4400,"Khagrachari Sadar,Khagrachari-4400",Prabhankar Dewan,,khdcbd@gmail.com,1816711696,,Khagrachari,4400,"Khagrachari Sadar,Khagrachari-4400"
284,853,Primary Education Rangpur,,Govt,Organization,ddprang@gmail.com,1411111394,0521-67271,Not_Found284,NID_Not_Found284,TIN_Not_Found284,TL_Not_Found284,,2,Bangladesh,Rangpur,5400,Rangpur Division.,primaryeducation,primaryeducation,Mahbub Elahi,,ddprang@gmail.com,0521-67271,,Rangpur,5400,Rangpur Division.,Mahbub Elahi,,ddprang@gmail.com,0521-67271,,Rangpur,5400,Rangpur Division.,Mahbub Elahi,,ddprang@gmail.com,0521-67271,,Rangpur,5400,Rangpur Division.
285,838,B K Online.,,Private,ISP,musfiq100@gmail.com,1411111395,29843444,Not_Found285,NID_Not_Found285,TIN_Not_Found285,TL_Not_Found285,,4,Bangladesh,Khulna,9100,"47,Khan Jahan Ali Road,Khulna.",,,Naznin Siddiqui,,nazninsiddiqui@gmail.com,1678622576,,Khulna,9100,"47,Khan Jahan Ali Road,Khulna.",Mashud M Reza,,musfiq100@gmail.com,29843444,,Khulna,9100,"47,Khan Jahan Ali Road,Khulna.",,,,,,Khulna,9100,"47,Khan Jahan Ali Road,Khulna."
286,295,"Mayor, Meherpur Pourashava",,Govt,Organization,meherpur_municipality@yahoo.com,1411111396,79162329,Not_Found286,NID_Not_Found286,TIN_Not_Found286,TL_Not_Found286,,2,Bangladesh,Meherpur,7100,"Mayor, Meherpur Pourashava",mayor,mayor,Md. Motashim Billah Motu,,meherpur_municipality@yahoo.com,79162329,79162199,Meherpur,7100,"Mayor, Meherpur Pourashava",Md. Motashim Billah Motu,,meherpur_municipality@yahoo.com,79162329,79162199,Meherpur,7100,"Mayor, Meherpur Pourashava",Md. Motashim Billah Motu,,meherpur_municipality@yahoo.com,79162329,79162199,Meherpur,7100,"Mayor, Meherpur Pourashava"
287,240,Secretary Board of Intermediate & Secondary Education,,Govt,Organization,unknown31@unkown.com,1411111397,,Not_Found287,NID_Not_Found287,TIN_Not_Found287,TL_Not_Found287,,2,Bangladesh,Sylhet,,"Alampur, South Surma, Sylhet",secretaryboard,secretaryboard,Prof. Md Monir Uddin,,,,,Sylhet,,"Alampur, South Surma, Sylhet",Prof. Md Monir Uddin,,,,,Sylhet,,"Alampur, South Surma, Sylhet",Prof. Md Monir Uddin,,,,,Sylhet,,"Alampur, South Surma, Sylhet"
288,803,Secondary & Higher Secondary Education Board,www.jessoreboard.gov.bd,Govt,Organization,unknown31@unkown.com,1411111398,,Not_Found288,NID_Not_Found288,TIN_Not_Found288,TL_Not_Found288,,2,Bangladesh,Jessore,,Jessore,shseb,shseb,Dr. Mollah Amir Hossan,,,,,Jessore,,Jessore,Dr. Mollah Amir Hossan,,,,,Jessore,,Jessore,Dr. Mollah Amir Hossan,,,,,Jessore,,Jessore
289,858,Munshiganj Polytechnic Institute,www.munpoly.gov.bd,Govt,Educational Institute,mpiprincipal@gmail.com,1411111399,27612825,Not_Found289,NID_Not_Found289,TIN_Not_Found289,TL_Not_Found289,,1,Bangladesh,Munshiganj,,"Mirkadim, Munshiganj",munshiganjpolytech,munshiganjpolytech,Md. Jahirul Islam,,mpiprincipal@gmail.com,27612825,,Munshiganj,,"Mirkadim, Munshiganj",Md. Jahirul Islam,,mpiprincipal@gmail.com,27612825,,Munshiganj,,"Mirkadim, Munshiganj",Md. Alauddin,,alauddinmpi@gmail.com,1712618588,,Munshiganj,,"Mirkadim,Munshiganj"
290,886,Rangpur Technical School & College,,Govt,Educational Institute,tscrangpur16031@gmail.com,1411111400,,Not_Found290,NID_Not_Found290,TIN_Not_Found290,TL_Not_Found290,,1,Bangladesh,Rangpur,5400,"New Engineer Para Rangpur, Rangpur.",rangpurtechnical,rangpurtechnical,Rangpur Technical School & College,,tscrangpur16031@gmail.com,0521-64652,,Rangpur,5400,"New Engineer Para Rangpur, Rangpur.",Arabinda Kumar Bondhan,,tscrangpur16031@gmail.com,,,Rangpur,5400,"New Engineer Para Rangpur, Rangpur.",Rangpur Technical School & College,,"New Engineer Para Rangpur, Rangpur.",0521-64652,,Rangpur,5400,"New Engineer Para Rangpur, Rangpur."
291,288,Khulna Development Authority,,Govt,Organization,secretary@kda.gov.bd,1411111401,41722386,Not_Found291,NID_Not_Found291,TIN_Not_Found291,TL_Not_Found291,,2,Bangladesh,Khulna,9100,"KDA Bhaban , Shibbari,Khulna-9100.",khulnadevelopment,khulnadevelopment,Quazi Faizur Rahman,,secretary@kda.gov.bd,41722386,41725154,Khulna,9100,"KDA Bhaban , Shibbari,Khulna-9100.",Quazi Faizur Rahman,,secretary@kda.gov.bd,41722386,41725154,Khulna,9100,"KDA Bhaban , Shibbari,Khulna-9100.",Md.Harunar Rashid,,harun8586@yahoo.com,1711953120,,Khulna,9100,"KDA Bhaban , Shibbari,Khulna-9100."
292,919,Director Health (Sylhet),,Govt,Organization,sdhowld.dghs.gov.bd,1411111402,0821-840848,Not_Found292,NID_Not_Found292,TIN_Not_Found292,TL_Not_Found292,,2,Bangladesh,Sylhet,3100,"Divisional Office , Alampur, Sylhet.",directorhealth,directorhealth,Office Of The Director (Health),,sdhowld.dghs.gov.bd,821840848,,Sylhet,3100,"Divisional Office , Alampur, Sylhet.",Office Of The Director (Health),,sdhowld.dghs.gov.bd,821840848,,Sylhet,3100,"Divisional Office , Alampur, Sylhet.",Nesar Ahmad Chowdhury,,,0821-840848,,Sylhet,3100,"Divisional Office , Alampur, Sylhet."
293,266,"Deputy Commissioner, Barisal",www.barisal.gov.bd,Govt,Organization,dcbarisal@mopa.gov.bd,1411111403,43163866,Not_Found293,NID_Not_Found293,TIN_Not_Found293,TL_Not_Found293,,2,Bangladesh,Barisal,8200,"office of the Deputy Commissioner, Barisal",	dcbari,dcbari,"Deputy Commissioner, Barisal",,dcbarisal@mopa.gov.bd,43163866,43164367,Barisal,8200,"Office of the Deputy Commissioner, Barisal",Dr. Gazi Md. Saifuzzaman,,dcbarisal@mopa.gov.bd,43163866,43164367,Barisal,8200,"Office of the Deputy Commissioner, Barisal","Deputy Commissioner, Barisal",,dcbarisal@mopa.gov.bd,43163866,43164367,Barisal,8200,"Office of the Deputy Commissioner, Barisal"
294,279,"Press Information Depearment, Dhaka",,Govt,Organization,piddhaka@gmail.com,1411111404,9540019,Not_Found294,NID_Not_Found294,TIN_Not_Found294,TL_Not_Found294,,2,Bangladesh,Dhaka,1000,"Building No. 9 Bangladesh Secretariate, Dhaka",piddhaka,piddhaka,Senior Information Officer,,piddhaka@yahoo.com,9540019,9512246,Dhaka,1000,"Building No. 9 Bangladesh Secretariate, Dhaka",Principal Information Officer,,piddhaka@gmail.com,9540019,9512246,Dhaka,1000,"Building No. 9 Bangladesh Secretariate, Dhaka",Md. Shah Alam Sarker,,piddhaka@yahoo.com,9549057,,Dhaka,1000,"Building No. 9 Bangladesh Secretariate, Dhaka"
295,509,MRP-MRV Project,www.dip.gov.bd,Govt,Organization,enayet38@yahoo.com,1411111405,9139279,Not_Found295,NID_Not_Found295,TIN_Not_Found295,TL_Not_Found295,,2,Bangladesh,Dhaka,1207,"7-E Agargaon, Dhaka-1207",mrp,mrp,Md. Asifuzzaman,,asif@data-edge.com,7162568,7170022,Dhaka,1207,"7-E Agargaon, Dhaka-1207",Lieutenant Colonel Enayet Karim,,enayet38@yahoo.com,9139479,7170022,Dhaka,1207,"7-E Agargaon, Dhaka-1207",Abu Saleh Md. Towfiqur Rahman,,saleh4981@yahoo.com,9139479,9146441,Dhaka,1207,"7-E Agargaon, Dhaka-1207"
296,564,Mayor Rajshshi City Corporation,www.erajshahi.gov.bd,Govt,Organization,alimdazahar@yahoo.com,1411111406,721772679,Not_Found296,NID_Not_Found296,TIN_Not_Found296,TL_Not_Found296,,2,Bangladesh,Rajshahi,6000,"Nagar Bhaban, Kadirgonj, Rajshahi",mayorraj,mayorraj,Mayor Rajshshi City Corporation,,kzaman@yahoo.com,721775504,721775181,Rajshahi,6000,"Nagar Bhaban, Kadirgonj, Rajshahi",Chief Executive Officer,,alimdazahar@yahoo.com,721772679,721772140,Rajshahi,6000,"Nagar Bhaban, Kadirgonj, Rajshahi",Md. Golam Murshed,,engr.murshed_rcc@yahoo.com,721775371,721772140,Rajshahi,6000,"Nagar Bhaban, Kadirgonj, Rajshahi"
297,536,"Engineering Staff College, Bangladesh (ESCB)",www.escb-bd.org,Govt,Educational Institute,escb@dhaka.net,1411111407,9574144,Not_Found297,NID_Not_Found297,TIN_Not_Found297,TL_Not_Found297,,1,Bangladesh,Dhaka,1000,"IEB Head Quarters, Ramna",escb,escb,Prof. Engr. M. A. Hannan,,escb@dhaka.net,9574144,9562447,Dhaka,1000,"IEB Head Quarters, Ramna",Prof. Engr. M. A. Hannan,,escb@dhaka.net,9574144,9562447,Dhaka,1000,"IEB Head Quarters, Ramna",Tarafder A. Mahmud,,ta_mahmud@yahoo.com,1191556562,,Dhaka,1000,"IEB Head Quarters, Ramna"
298,577,Titas Gas T&D Co. Ltd,,Govt,Organization,unknown31@unkown.com,1411111408,8119211,Not_Found298,NID_Not_Found298,TIN_Not_Found298,TL_Not_Found298,,2,Bangladesh,Dhaka,1215,"105, Kazi Nazrul Islam Avenue, Kawran Bazar, C/A",titasgas,titasgas,Titas Gas T&D Co. Ltd,,,8119211,,Dhaka,1215,"105, Kazi Nazrul Islam Avenue, Kawran Bazar, C/A",Titas Gas T&D Co. Ltd,,,8119211,,Dhaka,1215,"105, Kazi Nazrul Islam Avenue, Kawran Bazar, C/A",Titas Gas T&D Co. Ltd,,,8119211,,Dhaka,1215,"105, Kazi Nazrul Islam Avenue, Kawran Bazar, C/A"
299,578,Sylhet Gas Fields Ltd.,www.sgfl.org.bd,Govt.,Organization,services@sgfl.org.bd,1411111409,1730006950,Not_Found299,NID_Not_Found299,TIN_Not_Found299,TL_Not_Found299,,2,Bangladesh,Sylhet,3152,"Chiknagool, Sylhet,",sylhetgas,sylhetgas,Md.Showkat Alam Quadri,,services@sgfl.org.bd,1730006950,821761611,Sylath,3152,"Chiknagool, Sylhet,",Md.Showkat Alam Quadri,,services@sgfl.org.bd,7130006950,,Sylhet,3151,"Chiknagool, Sylhet,",Engr.Shovan Roy.,,ict@saflo.org.bd,1730006950,821761611,Sylhet,3152,"Chiknagool, Sylhet,"
300,881,Romance Cable Network,,Private,ISP,aminur.jessore@yahoo.com,1411111410,42166342,Not_Found300,NID_Not_Found300,TIN_Not_Found300,TL_Not_Found300,,4,Bangladesh,Jessore,7400,"Puratan Kashba Gosh Para, Jessore",romance,romance,Md. Aminul Islam,,aminur.jessore@yahoo.com,42166342,,Jessore,7400,"Puratan Kashba Gosh Para, Jessore",Md. Aminul Islam,,aminur.jessore@yahoo.com,42166342,,Jessore,7400,"Puratan Kashba Gosh Para, Jessore",Md. Aminul Islam,,aminur.jessore@yahoo.com,42166342,,Jessore,7400,"Puratan Kashba Gosh Para, Jessore"
301,458,Dinajpur Medical College Hospital,,Govt,Educational Institute,dinajmch@hospi.dghs.gov.bd,1411111411,53151509,Not_Found301,NID_Not_Found301,TIN_Not_Found301,TL_Not_Found301,,1,Bangladesh,Dinajpur,5200,Dinajpur.,dmch,dmch,Dinajpur Medical College Hospital,,dinajmch@hospi.dghs.gov.bd,,,Dinajpur.,,Dinajpur.,Dinajpur Medical College Hospital,,dinajmch@hospi.dghs.gov.bd,53151509,,Dinajpur.,5200,Dinajpur.,Dinajpur Medical College Hospital,,dinajmch@hospi.dghs.gov.bd,53151509,,Dinajpur.,5200,Dinajpur.
302,932,Jhalakathi N S Kamil Madrasah,,Private,Educational Institute,nesarabadncfj@yahoo.com,1411111412,,Not_Found302,NID_Not_Found302,TIN_Not_Found302,TL_Not_Found302,,2,Bangladesh,Jhalakathi,8400,"Nesarabad, Jhalakathi, Sadar",jhalakathins,jhalakathins,Abu Jafor Md. Salaeh,,nesarabadncfj@yahoo.com,1755808835,,Jhalakathi,8400,"Nesarabad, Jhalakathi, Sadar",Abu Jafor Md. Salaeh,,nesarabadncfj@yahoo.com,1755808835,,Jhalakathi,8400,"Nesarabad, Jhalakathi, Sadar",Md. Ferdaus,,nesarabadncfj@yahoo.com,1738773387,,Jhalakathi,8400,"Nesarabad, Jhalakathi, Sadar"
303,833,Bismillah Internet Service,,Private,ISP,bismillahisp@yahoo.com,1411111413,1926183447,Not_Found303,NID_Not_Found303,TIN_Not_Found303,TL_Not_Found303,,4,Bangladesh,Kushtia,7000,"1 No, Sir Syeed Ahammed Road, Thanapara Kushtia",bismillahinternet ,bismillahinternet ,Choudhury Mahadi Hassan,,bismillahisp@yahoo.com,1926183447,,Kushtia,7000,"1 No, Sir Syeed Ahammed Road, Thanapara Kushtia",Choudhury Mahadi Hassan,,bismillahisp@yahoo.com,1926183447,,Kushtia,7000,"1 No, Sir Syeed Ahammed Road, Thanapara Kushtia",Choudhury Mahadi Hassan,,bismillahisp@yahoo.com,1926183447,,Kushtia,7000,"1 No, Sir Syeed Ahammed Road, Thanapara Kushtia"
304,121,Red Data (pvt) Ltd.,www.reddataltd.com,Private,Organization,Shahidul@reddata.org,1411111414,1971504817,Not_Found304,NID_Not_Found304,TIN_Not_Found304,TL_Not_Found304,,3,Bangladesh,Chittagong,,"House # 16, Road # 03, Block # K, Lane # 04 Halishahar, Housing Estate. Chittagong",reddata,reddata,Washi Abdullah Bin Sharif,,washi@raddata.org,1977711779,,Chittagong,,"House # 16, Road # 03, Block # K, Lane # 04 Halishahar, Housing Estate. Chittagong",Md. Shahidul Islam,,Shahidul@reddata.org,1971504817,,Chittagong,,"House # 16, Road # 03, Block # K, Lane # 04 Halishahar, Housing Estate. Chittagong",Abu Zafar Md. Saleh,,zafar@reddata.org,1678039627,,Chittagong,,"House # 16, Road # 03, Block # K, Lane # 04 Halishahar, Housing Estate. Chittagong"
305,415,Ministry of Fisheries and Livestock,www.mofl.gov.bd,Govt.,Organization,mofla@gmail.com,1411111415,02-9576696,Not_Found305,NID_Not_Found305,TIN_Not_Found305,TL_Not_Found305,,2,Bangladesh,Dhaka,1000,"Ministry of Fisheries and Livestock, Room 513, Building 6, Bangladesh Secretariat, Dhaka",ministryfisheries,ministryfisheries,"Md Abdus Sattar, Deputy Secretary (Admin-2)",,mofla@gmail.com,9576696,9512220,Dhaka,1000,"Ministry of Fisheries and Livestock, Room 513, Building 6, Bangladesh Secretariat, Dhaka","Md Abdus Sattar, Deputy Secretary (Admin-2)",,mofla@gmail.com,9576696,,Dhaka,1000,"Ministry of Fisheries and Livestock, Room 513, Building 6, Bangladesh Secretariat, Dhaka","Md Sohrab Hossain, System Analyst",,moflsa333@gmail.com,1711489023,,Dhaka,1000,"Ministry of Fisheries and Livestock, Room 1512, Building 6, Bangladesh Secretariat, Dhaka"
306,231,Ministry of Home Affairs,http://www.mha.gov.bd/,Govt.,Organization,info@mha.gov.bd,1411111416,02-9574516,Not_Found306,NID_Not_Found306,TIN_Not_Found306,TL_Not_Found306,,2,Bangladesh,Dhaka,1000,"Ministry of Home Affairs, Room 9, Building 8, Bangladesh Secretariat, Dhaka",ministryhome,ministryhome,Senior Assistant Secretary,,info@mha.gov.bd,,,Dhaka,1000,"Ministry of Home Affairs, Room 317, Building 8, Admin-2, Bangladesh Secretariat, Dhaka",Senior Assistant Secretary,,info@mha.gov.bd,0,,Dhaka,1000,"Ministry of Home Affairs, Room 317, Building 8, Admin-2, Bangladesh Secretariat, Dhaka",Assistant programmer,,ap_ict@mha.gov.bd,,,Dhaka,1000,"Ministry of Home Affairs, Room 2A, Building 8, Bangladesh Secretariat, Dhaka"
